(K/u)_L,(K/u)_M,Jm_L,Jm_M,u_L/u_M(Shear contrast),volume contrast,critical strain,wavenumber
0.8,0.8,100,100,100,0.04,0.037577515,1.44
1,1,100,100,100,0.04,0.0375115,1.44
2,2,100,100,100,0.04,0.037382202,1.44
5,5,100,100,100,0.04,0.037305298,1.45
8,8,100,100,100,0.04,0.037285767,1.45
10,10,100,100,100,0.04,0.0372793,1.45
100,100,100,100,100,0.04,0.0372565,1.45
1000,1000,100,100,100,0.04,0.0372542,1.45
0.1,0.1,300,300,100,0.04,0.0402699,1.39
0.2,0.2,300,300,100,0.04,0.0385751,1.42
0.3,0.3,300,300,100,0.04,0.038081665,1.43
0.5,0.5,300,300,100,0.04,0.03770813,1.44
0.8,0.8,300,300,100,0.04,0.037504883,1.44
1,1,300,300,100,0.04,0.0374385,1.44
2,2,300,300,100,0.04,0.037307739,1.44
5,5,300,300,100,0.04,0.037229614,1.45
8,8,300,300,100,0.04,0.037210693,1.45
10,10,300,300,100,0.04,0.0372038,1.45
100,100,300,300,100,0.04,0.0371807,1.45
1000,1000,300,300,100,0.04,0.0371784,1.45
0.1,0.1,500,500,100,0.04,0.0402644,1.39
0.2,0.2,500,500,100,0.04,0.0385636,1.42
0.3,0.3,500,500,100,0.04,0.038068848,1.43
0.5,0.5,500,500,100,0.04,0.037694092,1.44
0.8,0.8,500,500,100,0.04,0.037490845,1.44
1,1,500,500,100,0.04,0.037424,1.44
2,2,500,500,100,0.04,0.037293091,1.44
5,5,500,500,100,0.04,0.037214966,1.45
8,8,500,500,100,0.04,0.037195435,1.45
10,10,500,500,100,0.04,0.0371888,1.45
100,100,500,500,100,0.04,0.037165,1.45
1000,1000,500,500,100,0.04,0.0371633,1.45
0.1,0.1,1000,1000,100,0.04,0.0402604,1.39
0.2,0.2,1000,1000,100,0.04,0.038555,1.42
0.3,0.3,1000,1000,100,0.04,0.038059082,1.43
0.5,0.5,1000,1000,100,0.04,0.037683716,1.44
0.8,0.8,1000,1000,100,0.04,0.037479858,1.44
1,1,1000,1000,100,0.04,0.0374131,1.44
2,2,1000,1000,100,0.04,0.037282104,1.44
5,5,1000,1000,100,0.04,0.037203979,1.44
8,8,1000,1000,100,0.04,0.037184448,1.45
10,10,1000,1000,100,0.04,0.0371776,1.45
100,100,1000,1000,100,0.04,0.0371544,1.45
1000,1000,1000,1000,100,0.04,0.0371521,1.45
0.1,0.1,0.01,0.01,100,0.06,0.0838438,1.18
0.2,0.2,0.01,0.01,100,0.06,0.0822789,1.21
1,1,0.01,0.01,100,0.06,0.0811407,1.23
10,10,0.01,0.01,100,0.06,0.0808956,1.24
100,100,0.01,0.01,100,0.06,0.0808714,1.24
1000,1000,0.01,0.01,100,0.06,0.080869,1.24
0.1,0.1,0.1,0.1,100,0.06,0.0756433,1.16
0.2,0.2,0.1,0.1,100,0.06,0.074244,1.18
1,1,0.1,0.1,100,0.06,0.0732204,1.2
10,10,0.1,0.1,100,0.06,0.0730012,1.2
100,100,0.1,0.1,100,0.06,0.0729795,1.2
1000,1000,0.1,0.1,100,0.06,0.0729773,1.2
0.1,0.1,0.2,0.2,100,0.06,0.0690732,1.14
0.2,0.2,0.2,0.2,100,0.06,0.0678371,1.16
1,1,0.2,0.2,100,0.06,0.066924,1.17
10,10,0.2,0.2,100,0.06,0.0667268,1.17
100,100,0.2,0.2,100,0.06,0.0667073,1.17
1000,1000,0.2,0.2,100,0.06,0.0667053,1.17
0.1,0.1,1,1,100,0.06,0.050189,1.01
0.2,0.2,1,1,100,0.06,0.0492749,1.02
1,1,1,1,100,0.06,0.0485853,1.03
10,10,1,1,100,0.06,0.0484349,1.03
100,100,1,1,100,0.06,0.04842,1.03
1000,1000,1,1,100,0.06,0.0484185,1.03
0.1,0.1,5,5,100,0.06,0.0409744,0.89
0.2,0.2,5,5,100,0.06,0.0400165,0.91
1,1,5,5,100,0.06,0.039297,0.93
10,10,5,5,100,0.06,0.0391402,0.93
100,100,5,5,100,0.06,0.0391246,0.93
1000,1000,5,5,100,0.06,0.0391231,0.93
0.1,0.1,10,10,100,0.06,0.0397017,0.85
0.2,0.2,10,10,100,0.06,0.0387081,0.88
1,1,10,10,100,0.06,0.037959,0.91
10,10,10,10,100,0.06,0.037796,0.91
100,100,10,10,100,0.06,0.0377798,0.91
1000,1000,10,10,100,0.06,0.0377782,0.91
0.1,0.1,30,30,100,0.06,0.0388864,0.82
0.2,0.2,30,30,100,0.06,0.0378623,0.86
1,1,30,30,100,0.06,0.0370844,0.89
10,10,30,30,100,0.06,0.0369152,0.9
100,100,30,30,100,0.06,0.0368983,0.9
1000,1000,30,30,100,0.06,0.0368967,0.9
0.1,0.1,90,90,100,0.06,0.0386253,0.81
0.2,0.2,90,90,100,0.06,0.037591,0.85
1,1,90,90,100,0.06,0.0368012,0.89
10,10,90,90,100,0.06,0.0366289,0.89
100,100,90,90,100,0.06,0.0366119,0.89
1000,1000,90,90,100,0.06,0.0366102,0.89
0.1,0.1,100,100,100,0.06,0.0386123,0.8
0.2,0.2,100,100,100,0.06,0.0375775,0.85
1,1,100,100,100,0.06,0.0367872,0.89
10,10,100,100,100,0.06,0.0366147,0.89
100,100,100,100,100,0.06,0.0365977,0.89
1000,1000,100,100,100,0.06,0.036596,0.89
0.1,0.1,300,300,100,0.06,0.0385347,0.8
0.2,0.2,300,300,100,0.06,0.0374972,0.85
1,1,300,300,100,0.06,0.0367033,0.88
10,10,300,300,100,0.06,0.0365299,0.89
100,100,300,300,100,0.06,0.0365127,0.89
1000,1000,300,300,100,0.06,0.036511,0.89
0.1,0.1,500,500,100,0.06,0.0385193,0.8
0.2,0.2,500,500,100,0.06,0.0374813,0.85
1,1,500,500,100,0.06,0.0366866,0.88
10,10,500,500,100,0.06,0.036513,0.89
100,100,500,500,100,0.06,0.0364958,0.89
1000,1000,500,500,100,0.06,0.0364941,0.89
0.1,0.1,1000,1000,100,0.06,0.0385079,0.8
0.2,0.2,1000,1000,100,0.06,0.0374693,0.85
1,1,1000,1000,100,0.06,0.036674,0.88
10,10,1000,1000,100,0.06,0.0365004,0.89
100,100,1000,1000,100,0.06,0.0364832,0.89
1000,1000,1000,1000,100,0.06,0.0364814,0.89
0.1,0.1,0.01,0.01,100,0.08,0.0831819,0.86
0.2,0.2,0.01,0.01,100,0.08,0.081745,0.88
1,1,0.01,0.01,100,0.08,0.0806867,0.9
10,10,0.01,0.01,100,0.08,0.080459,0.91
100,100,0.01,0.01,100,0.08,0.0804362,0.91
1000,1000,0.01,0.01,100,0.08,0.0804339,0.91
0.1,0.1,0.1,0.1,100,0.08,0.0749428,0.84
0.2,0.2,0.1,0.1,100,0.08,0.0736584,0.86
1,1,0.1,0.1,100,0.08,0.0727111,0.87
10,10,0.1,0.1,100,0.08,0.0725071,0.88
100,100,0.1,0.1,100,0.08,0.0724867,0.88
1000,1000,0.1,0.1,100,0.08,0.0724846,0.88
0.1,0.1,0.2,0.2,100,0.08,0.0683118,0.82
0.2,0.2,0.2,0.2,100,0.08,0.0671851,0.83
1,1,0.2,0.2,100,0.08,0.0663476,0.84
10,10,0.2,0.2,100,0.08,0.0661668,0.85
100,100,0.2,0.2,100,0.08,0.0661487,0.85
1000,1000,0.2,0.2,100,0.08,0.0661469,0.85
0.1,0.1,1,1,100,0.08,0.048803,0.69
0.2,0.2,1,1,100,0.08,0.0480779,0.7
1,1,1,1,100,0.08,0.0475226,0.71
10,10,1,1,100,0.08,0.0474001,0.71
100,100,1,1,100,0.08,0.0473879,0.71
1000,1000,1,1,100,0.08,0.0473867,0.71
0.1,0.1,5,5,100,0.08,0.0377888,0.44
0.2,0.2,5,5,100,0.08,0.0374153,0.48
1,1,5,5,100,0.08,0.0370946,0.52
10,10,5,5,100,0.08,0.0370201,0.52
100,100,5,5,100,0.08,0.0370127,0.52
1000,1000,5,5,100,0.08,0.037012,0.52
0.1,0.1,10,10,100,0.08,0.0350988,0.0001
0.2,0.2,10,10,100,0.08,0.0350542,0.0001
1,1,10,10,100,0.08,0.0348773,0.0001
10,10,10,10,100,0.08,0.0349067,0.0001
100,100,10,10,100,0.08,0.0348039,0.0001
1000,1000,10,10,100,0.08,0.0348029,0.0001
0.1,0.1,30,30,100,0.08,0.0330315,0.0101
0.2,0.2,30,30,100,0.08,0.0330081,0.0101
1,1,30,30,100,0.08,0.0323504,0.0001
10,10,30,30,100,0.08,0.0323284,0.0001
100,100,30,30,100,0.08,0.0323302,0.0001
1000,1000,30,30,100,0.08,0.0323303,0.0001
0.1,0.1,90,90,100,0.08,0.0321122,0.0001
0.2,0.2,90,90,100,0.08,0.0322501,0.0001
1,1,90,90,100,0.08,0.0322771,0.0001
10,10,90,90,100,0.08,0.0322881,0.0101
100,100,90,90,100,0.08,0.032288,0.0101
1000,1000,90,90,100,0.08,0.0322879,0.0101
0.1,0.1,100,100,100,0.08,0.0322494,0.0001
0.2,0.2,100,100,100,0.08,0.0322451,0.0001
1,1,100,100,100,0.08,0.0322505,0.0001
10,10,100,100,100,0.08,0.032251,0.0001
100,100,100,100,100,0.08,0.0322522,0.0001
1000,1000,100,100,100,0.08,0.0322491,0.0001
0.1,0.1,300,300,100,0.08,0.0320316,0.0001
0.2,0.2,300,300,100,0.08,0.0320292,0.0001
1,1,300,300,100,0.08,0.032039,0.0001
10,10,300,300,100,0.08,0.0320412,0.0001
100,100,300,300,100,0.08,0.0320391,0.0001
1000,1000,300,300,100,0.08,0.0320235,0.0001
0.1,0.1,500,500,100,0.08,0.031991,0.0001
0.2,0.2,500,500,100,0.08,0.031985,0.0001
1,1,500,500,100,0.08,0.031998,0.0001
10,10,500,500,100,0.08,0.0319963,0.0001
100,100,500,500,100,0.08,0.0319971,0.0001
1000,1000,500,500,100,0.08,0.0319973,0.0001
0.1,0.1,1000,1000,100,0.08,0.031955,0.0001
0.2,0.2,1000,1000,100,0.08,0.0319537,0.0001
1,1,1000,1000,100,0.08,0.0319671,0.0001
10,10,1000,1000,100,0.08,0.0319651,0.0001
100,100,1000,1000,100,0.08,0.0319657,0.0001
1000,1000,1000,1000,100,0.08,0.0319663,0.0001
0.1,1000,1000,0.01,100,0.04,0.03055481,1.2
0.2,1000,1000,0.01,100,0.04,0.030664673,1.22
1,1000,1000,0.01,100,0.04,0.030749512,1.24
10,1000,1000,0.01,100,0.04,0.030768433,1.24
100,1000,1000,0.01,100,0.04,0.030770264,1.24
1000,1000,1000,0.01,100,0.04,0.030770264,1.24
0.1,1000,1000,0.1,100,0.04,0.030794678,1.2
0.2,1000,1000,0.1,100,0.04,0.030904541,1.23
1,1000,1000,0.1,100,0.04,0.03098938,1.25
10,1000,1000,0.1,100,0.04,0.031008301,1.25
100,1000,1000,0.1,100,0.04,0.031010132,1.25
1000,1000,1000,0.1,100,0.04,0.031010132,1.25
0.1,1000,1000,0.2,100,0.04,0.031043701,1.21
0.2,1000,1000,0.2,100,0.04,0.031154175,1.24
1,1000,1000,0.2,100,0.04,0.031238403,1.26
10,1000,1000,0.2,100,0.04,0.031256714,1.26
100,1000,1000,0.2,100,0.04,0.031258545,1.26
1000,1000,1000,0.2,100,0.04,0.031259155,1.26
0.1,1000,1000,1,100,0.04,0.032526855,1.25
0.2,1000,1000,1,100,0.04,0.032635498,1.28
1,1000,1000,1,100,0.04,0.032717285,1.3
10,1000,1000,1,100,0.04,0.032734375,1.31
100,1000,1000,1,100,0.04,0.032736206,1.31
1000,1000,1000,1,100,0.04,0.032736206,1.31
0.1,1000,1000,5,100,0.04,0.035048218,1.32
0.2,1000,1000,5,100,0.04,0.035150757,1.35
1,1000,1000,5,100,0.04,0.035223389,1.38
10,1000,1000,5,100,0.04,0.035238647,1.39
100,1000,1000,5,100,0.04,0.035239868,1.39
1000,1000,1000,5,100,0.04,0.035239868,1.39
0.1,1000,1000,10,100,0.04,0.035859985,1.34
0.2,1000,1000,10,100,0.04,0.035958862,1.37
1,1000,1000,10,100,0.04,0.036027222,1.4
