city,lon,lat
Akron,-81.53228759765625,41.06382150855228
Ann Arbor,-83.70208740234375,42.259016415705766
AMES,-93.592529296875,42.0125705565935
Atlanta,-84.385986328125,33.75174787568194
Austin,-97.71240234375,30.259067203213018
BOSTON,-71.1419677734375,42.33012354634196
BOCA RATON,-80.10818481445312,26.39925039312297
Baltimore,-76.5966796875,39.29179704377487
Buffalo,-78.73901367187499,42.85985981506279
Boulder,-105.2764892578125,40.00868343656941
Champaign,-88.30879211425781,40.09934676531841
Cambridge,-71.02935791015625,42.44980808481614
CHARLOTTE,-80.8428955078125,35.15584570226544
CHARLOTTESVILLE,-78.46847534179688,38.02213147353745
Chicago,-87.73681640625,41.75492216766298
Cincinnati,-84.48486328124999,39.14710270770074
CLEMSON,-82.83279418945312,34.67952307017263
CLEVELAND,-81.6009521484375,41.44684402008925
College Station,-96.34803771972656,30.607776881823785
COLUMBIA,-80.96923828125,33.96614226559745
Columbus,-83.03466796874999,39.93501296038254
Denton,-97.152099609375,33.213414392242655
Denver,-104.842529296875,39.67337039176558
Durham,-78.914794921875,35.99911854141816
East Lansing,-84.462890625,42.69051116998238
Flagstaff,-111.588134765625,35.15584570226544
GAINESVILLE,-82.40295410156249,29.649868677972304
Golden,-105.23941040039062,39.73253798438173
Hadley,-72.61362075805664,42.34217839769086
Houghton,-88.57177734375,47.092565552235705
Houston,-95.38330078125,29.7453016622136
Huntsville,-86.60522460937499,34.67839374011646
Irvine,-117.79266357421874,33.694637550483186
Ithaca,-76.48681640625,42.4275113263909
Knoxville,-83.9410400390625,35.926868653041375
La Jolla,-117.158203125,32.76418137510082
Lawrence,-95.2569580078125,38.94232097947902
Lexington,-84.5013427734375,38.00049145082287
Lincoln,-96.65771484375,40.772221877329024
LOS ANGELES,-118.32275390624999,33.815666308702774
Lubbock,-101.810302734375,33.55055114384406
MADISON,-89.384765625,43.04480541304369
Merced,-120.48980712890624,37.304644804751106
Milwaukee,-88.00048828124999,42.924251753870685
Minneapolis,-93.22998046875,44.96479793033101
MISSISSIPPI STATE,-88.73846054077148,33.488726115350275
New Haven,-72.85308837890624,41.343824581185686
New York,-73.927001953125,40.65563874006118
Newark,-74.29504394531249,40.657722371758105
North Dartmouth,-70.83538055419922,41.70841976683988
Orlando,-81.375732421875,28.473520105140903
Philadelphia,-75.1025390625,39.87601941962116
Piscataway,-74.71527099609375,40.54511315470123
Pittsburgh,-80.035400390625,40.32141999593439
Potsdam,-74.97962951660156,44.66767620116954
Providence,-71.44683837890625,41.789744876718984
Raleigh,-78.64013671875,35.62158189955968
Reno,-119.7674560546875,39.499802162332884
Richardson,-96.67556762695312,32.97065166214906
Saint Louis,-89.80224609374999,38.47939467327645
SALT LAKE CITY,-111.9287109375,40.613952441166596
Santa Barbara,-119.970703125,34.397844946449865
Stanford,-122.22564697265625,37.39416407012379
Stillwater,-97.0751953125,36.12234620030518
Storrs,-72.2515869140625,41.80663731900798
SYRACUSE,-76.11602783203125,43.07891929985966
TEMPE,-111.70898437499999,33.26624989076275
Troy,-73.6578369140625,42.68647341541784
Tucson,-110.89599609375,32.175612478499325
UNIVERSITY PARK,-77.86285400390625,40.80133575979201
Washington,-77.01416015625,38.8225909761771
West Lafayette,-86.92554473876952,40.42368991675518
WORCESTER,-71.80252075195312,42.26536853064819
