(K/u)_L,(K/u)_M,Jm_L,Jm_M,u_L/u_M(Shear contrast),volume contrast,critical strain,wavenumber
0.424742501,0.424742501,0.695424251,0.695424251,1,0,0.104792269,0.956581782
0.475772497,0.475772497,0.695424251,0.695424251,1,0,0.1047395,0.956581782
0.5,0.5,0.695424251,0.695424251,1,0,0.104722371,0.956581782
0.75,0.75,0.695424251,0.695424251,1,0,0.104660736,0.956581782
1,1,0.695424251,0.695424251,1,0,0.1046546,0.956581782
0,0,0.790848502,0.790848502,1,0,0.112405853,0.953078541
0.075257499,0.075257499,0.790848502,0.790848502,1,0,0.107773731,0.954494623
0.119280314,0.119280314,0.790848502,0.790848502,1,0,0.106419595,0.955195203
0.174742501,0.174742501,0.790848502,0.790848502,1,0,0.105391452,0.9558909
0.225772497,0.225772497,0.790848502,0.790848502,1,0,0.104834825,0.9558909
0.25,0.25,0.790848502,0.790848502,1,0,0.104650974,0.9558909
0.325257499,0.325257499,0.790848502,0.790848502,1,0,0.104290113,0.956581782
0.424742501,0.424742501,0.790848502,0.790848502,1,0,0.104075633,0.956581782
0.475772497,0.475772497,0.790848502,0.790848502,1,0,0.104022864,0.956581782
0.5,0.5,0.790848502,0.790848502,1,0,0.104001713,0.956581782
0.75,0.75,0.790848502,0.790848502,1,0,0.103940915,0.956581782
1,1,0.790848502,0.790848502,1,0,0.1039345,0.956581782
0,0,0.8,0.8,1,0,0.112391629,0.952362896
0.075257499,0.075257499,0.8,0.8,1,0,0.107746121,0.954494623
0.119280314,0.119280314,0.8,0.8,1,0,0.106388955,0.955195203
0.174742501,0.174742501,0.8,0.8,1,0,0.10535911,0.9558909
0.225772497,0.225772497,0.8,0.8,1,0,0.10480078,0.9558909
0.25,0.25,0.8,0.8,1,0,0.104616671,0.9558909
0.325257499,0.325257499,0.8,0.8,1,0,0.104256069,0.9558909
0.424742501,0.424742501,0.8,0.8,1,0,0.104041589,0.956581782
0.475772497,0.475772497,0.8,0.8,1,0,0.103987118,0.956581782
0.5,0.5,0.8,0.8,1,0,0.103969083,0.956581782
0.75,0.75,0.8,0.8,1,0,0.103905495,0.956581782
1,1,0.8,0.8,1,0,0.103899081,0.956581782
0,0,0.895424251,0.895424251,1,0,0.112309635,0.952362896
0.075257499,0.075257499,0.895424251,0.895424251,1,0,0.107582969,0.954494623
0.119280314,0.119280314,0.895424251,0.895424251,1,0,0.106206817,0.955195203
0.174742501,0.174742501,0.895424251,0.895424251,1,0,0.105165056,0.9558909
0.225772497,0.225772497,0.895424251,0.895424251,1,0,0.104598216,0.9558909
0.25,0.25,0.895424251,0.895424251,1,0,0.104413079,0.9558909
0.325257499,0.325257499,0.895424251,0.895424251,1,0,0.104048398,0.9558909
0.424742501,0.424742501,0.895424251,0.895424251,1,0,0.103830513,0.956581782
0.475772497,0.475772497,0.895424251,0.895424251,1,0,0.103777744,0.956581782
0.5,0.5,0.895424251,0.895424251,1,0,0.103758519,0.956581782
0.75,0.75,0.895424251,0.895424251,1,0,0.103694095,0.956581782
1,1,0.895424251,0.895424251,1,0,0.10368768,0.956581782
0,0,0.939794001,0.939794001,1,0,0.112294296,0.952362896
0.075257499,0.075257499,0.939794001,0.939794001,1,0,0.107550896,0.954494623
0.119280314,0.119280314,0.939794001,0.939794001,1,0,0.10617107,0.955195203
0.174742501,0.174742501,0.939794001,0.939794001,1,0,0.105125905,0.9558909
0.225772497,0.225772497,0.939794001,0.939794001,1,0,0.104559065,0.9558909
0.25,0.25,0.939794001,0.939794001,1,0,0.10437264,0.9558909
0.325257499,0.325257499,0.939794001,0.939794001,1,0,0.104007544,0.9558909
0.424742501,0.424742501,0.939794001,0.939794001,1,0,0.10378966,0.956581782
0.475772497,0.475772497,0.939794001,0.939794001,1,0,0.103735189,0.956581782
0.5,0.5,0.939794001,0.939794001,1,0,0.103716685,0.956581782
0.75,0.75,0.939794001,0.939794001,1,0,0.103650309,0.956581782
1,1,0.939794001,0.939794001,1,0,0.103645568,0.956581782
0,0,1,1,1,0,0.11228314,0.952362896
0.075257499,0.075257499,1,1,1,0,0.107526911,0.954494623
0.119280314,0.119280314,1,1,1,0,0.106143834,0.955195203
0.174742501,0.174742501,1,1,1,0,0.105096967,0.9558909
0.225772497,0.225772497,1,1,1,0,0.104528425,0.9558909
0.25,0.25,1,1,1,0,0.104342241,0.9558909
0.325257499,0.325257499,1,1,1,0,0.103976904,0.9558909
0.424742501,0.424742501,1,1,1,0,0.10375902,0.9558909
0.475772497,0.475772497,1,1,1,0,0.103704549,0.956581782
0.5,0.5,1,1,1,0,0.103685449,0.956581782
0.75,0.75,1,1,1,0,0.103620746,0.956581782
1,1,1,1,1,0,0.103614332,0.956581782
0,0,0,0,1,0.584962501,0.23383387,0.936011462
0.075257499,0.075257499,0,0,1,0.584962501,0.229469485,0.938517839
0.25,0.25,0,0,1,0.584962501,0.226295133,0.940154468
0.5,0.5,0,0,1,0.584962501,0.225611568,0.94096283
0.75,0.75,0,0,1,0.584962501,0.225544076,0.94096283
1,1,0,0,1,0.584962501,0.225537383,0.94096283
0,0,0.2,0.2,1,0.584962501,0.21096331,0.934304888
0.075257499,0.075257499,0.2,0.2,1,0.584962501,0.20706077,0.936011462
0.25,0.25,0.2,0.2,1,0.584962501,0.204206029,0.937689352
0.5,0.5,0.2,0.2,1,0.584962501,0.203594697,0.937689352
0.75,0.75,0.2,0.2,1,0.584962501,0.203534178,0.937689352
1,1,0.2,0.2,1,0.584962501,0.203528042,0.937689352
0,0,0.260205999,0.260205999,1,0.584962501,0.192639809,0.932568634
0.075257499,0.075257499,0.260205999,0.260205999,1,0.584962501,0.189192422,0.934304888
0.25,0.25,0.260205999,0.260205999,1,0.584962501,0.186645857,0.935161822
0.5,0.5,0.260205999,0.260205999,1,0.584962501,0.186095881,0.935161822
0.75,0.75,0.260205999,0.260205999,1,0.584962501,0.186041497,0.935161822
1,1,0.260205999,0.260205999,1,0.584962501,0.186035919,0.935161822
0,0,0.4,0.4,1,0.584962501,0.139973237,0.920481167
0.075257499,0.075257499,0.4,0.4,1,0.584962501,0.137423883,0.921464743
0.25,0.25,0.4,0.4,1,0.584962501,0.135500642,0.922438723
0.5,0.5,0.4,0.4,1,0.584962501,0.135081188,0.922438723
0.75,0.75,0.4,0.4,1,0.584962501,0.135039633,0.922438723
1,1,0.4,0.4,1,0.584962501,0.135035449,0.922438723
0,0,0.539794001,0.539794001,1,0.584962501,0.114274431,0.907853987
0.075257499,0.075257499,0.539794001,0.539794001,1,0.584962501,0.111602922,0.91007257
0.25,0.25,0.539794001,0.539794001,1,0.584962501,0.109596292,0.912242919
0.5,0.5,0.539794001,0.539794001,1,0.584962501,0.109158989,0.912242919
0.75,0.75,0.539794001,0.539794001,1,0.584962501,0.109115482,0.912242919
1,1,0.539794001,0.539794001,1,0.584962501,0.109111298,0.912242919
0,0,0.6,0.6,1,0.584962501,0.110724969,0.903263195
0.075257499,0.075257499,0.6,0.6,1,0.584962501,0.107953895,0.906725928
0.25,0.25,0.6,0.6,1,0.584962501,0.105864713,0.91007257
0.5,0.5,0.6,0.6,1,0.584962501,0.105410119,0.91007257
0.75,0.75,0.6,0.6,1,0.584962501,0.105364938,0.91007257
1,1,0.6,0.6,1,0.584962501,0.105360476,0.91007257
0,0,0.695424251,0.695424251,1,0.584962501,0.10845116,0.899676027
0.075257499,0.075257499,0.695424251,0.695424251,1,0.584962501,0.105595025,0.904430836
0.25,0.25,0.695424251,0.695424251,1,0.584962501,0.103425522,0.907853987
0.5,0.5,0.695424251,0.695424251,1,0.584962501,0.102953636,0.908969441
0.75,0.75,0.695424251,0.695424251,1,0.584962501,0.102906503,0.908969441
1,1,0.695424251,0.695424251,1,0.584962501,0.102902041,0.908969441
0,0,0.790848502,0.790848502,1,0.584962501,0.107722973,0.898451077
0.075257499,0.075257499,0.790848502,0.790848502,1,0.584962501,0.10483839,0.903263195
0.25,0.25,0.790848502,0.790848502,1,0.584962501,0.102635699,0.907853987
0.5,0.5,0.790848502,0.790848502,1,0.584962501,0.102155167,0.907853987
0.75,0.75,0.790848502,0.790848502,1,0.584962501,0.102107756,0.907853987
1,1,0.790848502,0.790848502,1,0.584962501,0.102103015,0.907853987
0,0,0.8,0.8,1,0.584962501,0.107686717,0.897210911
0.075257499,0.075257499,0.8,0.8,1,0.584962501,0.104800739,0.903263195
0.25,0.25,0.8,0.8,1,0.584962501,0.102596654,0.907853987
0.5,0.5,0.8,0.8,1,0.584962501,0.102115565,0.907853987
0.75,0.75,0.8,0.8,1,0.584962501,0.102068153,0.907853987
1,1,0.8,0.8,1,0.584962501,0.102063412,0.907853987
0,0,0.895424251,0.895424251,1,0.584962501,0.107470296,0.897210911
0.075257499,0.075257499,0.895424251,0.895424251,1,0.584962501,0.104576789,0.903263195
0.25,0.25,0.895424251,0.895424251,1,0.584962501,0.102362663,0.906725928
0.5,0.5,0.895424251,0.895424251,1,0.584962501,0.101879064,0.907853987
0.75,0.75,0.895424251,0.895424251,1,0.584962501,0.101831095,0.907853987
1,1,0.895424251,0.895424251,1,0.584962501,0.101826353,0.907853987
0,0,0.939794001,0.939794001,1,0.584962501,0.107427347,0.897210911
0.075257499,0.075257499,0.939794001,0.939794001,1,0.584962501,0.104532445,0.903263195
0.25,0.25,0.939794001,0.939794001,1,0.584962501,0.102316088,0.906725928
0.5,0.5,0.939794001,0.939794001,1,0.584962501,0.101831931,0.907853987
0.75,0.75,0.939794001,0.939794001,1,0.584962501,0.101783962,0.907853987
1,1,0.939794001,0.939794001,1,0.584962501,0.101779221,0.907853987
0,0,1,1,1,0.584962501,0.107395553,0.897210911
0.075257499,0.075257499,1,1,1,0.584962501,0.104498978,0.903263195
0.25,0.25,1,1,1,0.584962501,0.102280948,0.906725928
0.5,0.5,1,1,1,0.584962501,0.101796791,0.907853987
0.75,0.75,1,1,1,0.584962501,0.101748821,0.907853987
1,1,1,1,1,0.584962501,0.101743801,0.907853987
0,0,0,0,1,1,0.231987882,0.904430836
0.075257499,0.075257499,0,0,1,1,0.227980479,0.906725928
0.25,0.25,0,0,1,1,0.225028962,0.908969441
0.5,0.5,0,0,1,1,0.224393924,0.91007257
0.75,0.75,0,0,1,1,0.224330337,0.91007257
1,1,0,0,1,1,0.224323922,0.91007257
0,0,0.2,0.2,1,1,0.20900967,0.902081736
0.075257499,0.075257499,0.2,0.2,1,1,0.205427577,0.904430836
0.25,0.25,0.2,0.2,1,1,0.202785631,0.905584977
0.5,0.5,0.2,0.2,1,1,0.202216691,0.906725928
0.75,0.75,0.2,0.2,1,1,0.202159797,0.906725928
1,1,0.2,0.2,1,1,0.20215394,0.906725928
0,0,0.260205999,0.260205999,1,1,0.190516324,0.899676027
0.075257499,0.075257499,0.260205999,0.260205999,1,1,0.187374045,0.900886128
